YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,CONFIRMED_UNITS,GRAFFITI,SCORE,AGE
2021,1955,PRIVATE,24,5,86,66
2021,1960,PRIVATE,84,5,83,61
2021,1969,PRIVATE,381,5,72,52
2021,1989,SOCIAL HOUSING,119,5,79,32
2021,1960,PRIVATE,11,5,78,61
2021,1971,PRIVATE,113,5,74,50
2021,1968,PRIVATE,32,5,73,53
2021,1959,PRIVATE,54,5,81,62
2021,1965,PRIVATE,54,5,79,56
2021,1959,PRIVATE,54,5,82,62
2021,2019,PRIVATE,235,5,97,2
2021,1955,PRIVATE,27,5,83,66
2021,1957,PRIVATE,11,5,90,64
2021,1969,PRIVATE,100,5,74,52
2021,1969,PRIVATE,163,5,93,52
2021,1953,PRIVATE,49,5,81,68
2021,1970,SOCIAL HOUSING,30,5,68,51
2021,1960,PRIVATE,77,5,83,61
2021,1928,PRIVATE,35,5,74,93
2021,1968,PRIVATE,39,5,65,53
2021,1992,SOCIAL HOUSING,150,5,85,29
2021,1965,PRIVATE,61,5,76,56
2021,1967,PRIVATE,207,5,79,54
2021,1956,PRIVATE,12,5,71,65
2021,1928,PRIVATE,45,5,73,93
2021,1952,PRIVATE,12,5,67,69
2021,1967,PRIVATE,25,5,83,54
2021,1955,PRIVATE,43,5,67,66
2021,1949,PRIVATE,21,5,81,72
2021,1949,PRIVATE,21,5,87,72
2021,1953,SOCIAL HOUSING,40,5,76,68
2021,1953,SOCIAL HOUSING,25,5,72,68
2021,1953,SOCIAL HOUSING,41,5,76,68
2021,1940,SOCIAL HOUSING,20,5,81,81
2021,1980,TCHC,137,5,73,41
2021,1983,SOCIAL HOUSING,77,5,74,38
2021,1968,TCHC,257,4,69,53
2021,1980,PRIVATE,60,5,80,41
2021,1958,PRIVATE,38,5,87,63
2021,1985,SOCIAL HOUSING,138,3,77,36
2021,1960,PRIVATE,48,5,81,61
2021,1990,TCHC,41,5,78,31
2021,1992,SOCIAL HOUSING,21,5,67,29
2021,1940,PRIVATE,14,5,69,81
2021,1965,PRIVATE,75,5,79,56
2021,1953,PRIVATE,28,5,64,68
2021,1960,PRIVATE,112,5,79,61
2021,1958,PRIVATE,28,5,65,63
2021,1965,PRIVATE,11,5,79,56
2021,1960,PRIVATE,90,5,82,61
2021,1965,PRIVATE,37,5,84,56
2021,1966,PRIVATE,174,5,77,55
2021,1971,TCHC,203,5,79,50
2021,1940,PRIVATE,17,5,80,81
2021,1930,PRIVATE,27,5,83,91
2021,1930,PRIVATE,26,5,81,91
2021,1930,PRIVATE,23,5,80,91
2021,1971,PRIVATE,109,5,89,50
2021,1987,SOCIAL HOUSING,97,3,85,34
2021,1967,PRIVATE,275,5,89,54
2021,1975,PRIVATE,11,5,84,46
2021,1934,PRIVATE,46,5,71,87
2021,1919,PRIVATE,18,5,64,102
2021,1957,PRIVATE,152,5,82,64
2021,1965,PRIVATE,34,5,78,56
2021,1930,PRIVATE,12,5,86,91
2021,1930,PRIVATE,16,5,85,91
2021,1994,SOCIAL HOUSING,154,5,84,27
2021,1980,PRIVATE,146,5,94,41
2021,1955,PRIVATE,42,5,69,66
2021,1960,PRIVATE,66,5,71,61
2021,1950,PRIVATE,12,5,72,71
2021,1960,PRIVATE,36,5,74,61
2021,1964,PRIVATE,304,5,84,57
2021,1997,SOCIAL HOUSING,144,5,84,24
2021,1950,PRIVATE,10,5,75,71
2021,1971,PRIVATE,118,5,76,50
2021,1971,PRIVATE,118,5,75,50
2021,1960,PRIVATE,32,5,72,61
2021,1969,PRIVATE,331,5,83,52
2021,1965,PRIVATE,41,5,66,56
2021,1961,PRIVATE,93,5,74,60
2021,1970,TCHC,221,5,81,51
2021,1972,TCHC,374,3,64,49
2021,1958,PRIVATE,11,5,68,63
2021,1956,PRIVATE,12,5,66,65
2021,1959,PRIVATE,26,5,71,62
2021,1958,PRIVATE,26,5,78,63
2021,1962,PRIVATE,65,5,76,59
2021,1968,PRIVATE,27,5,72,53
2021,1940,PRIVATE,14,5,86,81
2021,1996,SOCIAL HOUSING,132,5,83,25
2021,1955,PRIVATE,47,5,82,66
2021,1953,PRIVATE,50,5,83,68
2021,1964,PRIVATE,50,5,79,57
2021,1953,PRIVATE,11,5,61,68
2021,1960,PRIVATE,48,5,85,61
2021,1953,PRIVATE,11,5,61,68
2021,1953,PRIVATE,11,5,61,68
2021,1954,PRIVATE,26,5,78,67
2021,1972,SOCIAL HOUSING,103,5,81,49
2021,1962,PRIVATE,60,5,78,59
2021,1960,PRIVATE,42,5,68,61
2021,1960,PRIVATE,42,5,68,61
2021,1992,SOCIAL HOUSING,94,5,85,29
2021,1940,PRIVATE,16,5,76,81
2021,1968,PRIVATE,370,5,73,53
2021,1959,PRIVATE,87,5,80,62
2021,1962,PRIVATE,122,5,87,59
2021,1953,PRIVATE,11,5,63,68
2021,1960,PRIVATE,76,5,78,61
2021,1970,PRIVATE,41,5,83,51
2021,1958,PRIVATE,52,5,78,63
2021,1983,TCHC,185,5,83,38
2021,1982,PRIVATE,60,5,79,39
2021,1910,PRIVATE,35,5,79,111
2021,1988,SOCIAL HOUSING,25,5,72,33
2021,1974,PRIVATE,76,5,81,47
2021,1940,PRIVATE,16,5,77,81
2021,1963,PRIVATE,91,5,77,58
2021,1930,PRIVATE,15,5,76,91
2021,1962,PRIVATE,78,5,79,59
2021,1963,PRIVATE,65,5,87,58
2021,1927,PRIVATE,19,5,73,94
2021,1915,PRIVATE,20,5,80,106
2021,1930,PRIVATE,24,5,84,91
2021,1955,PRIVATE,42,5,75,66
2021,1974,TCHC,48,5,73,47
2021,2018,PRIVATE,369,5,96,3
2021,1968,PRIVATE,122,5,72,53
2021,1968,PRIVATE,121,4,72,53
2021,1984,SOCIAL HOUSING,200,3,75,37
2021,1991,SOCIAL HOUSING,37,5,93,30
2021,1976,PRIVATE,457,5,81,45
2021,1976,PRIVATE,638,5,80,45
2021,1960,PRIVATE,45,5,84,61
2021,1970,PRIVATE,79,5,77,51
2021,1929,PRIVATE,72,5,75,92
2021,1970,PRIVATE,34,5,85,51
2021,1970,PRIVATE,23,5,83,51
2021,1970,PRIVATE,36,5,81,51
2021,1955,PRIVATE,32,5,83,66
2021,1958,PRIVATE,18,5,88,63
2021,1972,PRIVATE,13,5,56,49
2021,1960,PRIVATE,18,5,76,61
2021,1964,PRIVATE,121,5,81,57
2021,1940,PRIVATE,30,5,77,81
2021,1972,TCHC,469,3,65,49
2021,1950,PRIVATE,28,5,84,71
2021,1971,PRIVATE,108,5,88,50
2021,1989,PRIVATE,81,5,91,32
2021,1964,PRIVATE,83,5,88,57
2021,1956,PRIVATE,14,5,81,65
2021,1994,SOCIAL HOUSING,14,5,79,27
2021,1995,SOCIAL HOUSING,138,3,87,26
2021,1961,TCHC,25,5,72,60
2021,1970,PRIVATE,266,5,75,51
2021,1955,PRIVATE,26,5,75,66
2021,1965,PRIVATE,54,5,78,56
2021,1970,PRIVATE,271,4,74,51
2021,1900,PRIVATE,28,3,66,121
2021,1969,TCHC,327,5,68,52
2021,1967,PRIVATE,74,5,93,54
2021,2006,TCHC,54,3,66,15
2021,1986,TCHC,132,3,65,35
2021,1967,PRIVATE,185,5,84,54
2021,1967,PRIVATE,61,5,77,54
2021,1982,SOCIAL HOUSING,18,5,75,39
2021,1996,PRIVATE,102,5,89,25
2021,1965,PRIVATE,371,4,76,56
2021,1965,PRIVATE,371,2,71,56
2021,1960,PRIVATE,28,5,62,61
2021,1966,PRIVATE,243,5,75,55
2021,1960,PRIVATE,34,5,88,61
2021,1956,PRIVATE,28,5,73,65
2021,1960,PRIVATE,148,5,83,61
2021,1960,PRIVATE,60,5,81,61
2021,1958,PRIVATE,15,5,93,63
2021,2008,PRIVATE,264,5,88,13
2021,1959,PRIVATE,22,5,74,62
2021,1961,PRIVATE,55,5,81,60
2021,1952,PRIVATE,48,5,82,69
2021,1986,SOCIAL HOUSING,140,5,83,35
2021,1957,TCHC,31,5,84,64
2021,1987,PRIVATE,289,5,81,34
2021,1979,PRIVATE,26,5,60,42
2021,1958,PRIVATE,64,5,85,63
2021,1959,PRIVATE,88,5,76,62
2021,1967,PRIVATE,142,5,78,54
2021,1961,PRIVATE,151,5,76,60
2021,1969,PRIVATE,128,5,84,52
2021,1970,PRIVATE,293,2,74,51
2021,1972,PRIVATE,189,5,86,49
2021,1970,PRIVATE,61,5,74,51
2021,1960,PRIVATE,85,5,68,61
2021,1960,PRIVATE,86,5,60,61
2021,1960,PRIVATE,84,5,67,61
2021,1960,PRIVATE,43,3,72,61
2021,1965,PRIVATE,286,5,91,56
2021,1968,PRIVATE,48,5,80,53
2021,1968,PRIVATE,209,5,85,53
2021,1960,PRIVATE,115,4,82,61
2021,1962,PRIVATE,62,5,94,59
2021,1967,PRIVATE,150,5,78,54
2021,1920,PRIVATE,16,4,89,101
2021,1964,PRIVATE,157,5,72,57
2021,1971,PRIVATE,324,3,86,50
2021,1920,PRIVATE,15,5,73,101
2021,1962,PRIVATE,101,5,83,59
2021,1962,PRIVATE,154,5,86,59
2021,1920,PRIVATE,12,5,60,101
2021,1956,PRIVATE,37,5,80,65
2021,1947,PRIVATE,34,5,72,74
2021,1970,PRIVATE,28,5,93,51
2021,1962,PRIVATE,160,5,89,59
2021,1969,PRIVATE,163,5,87,52
2021,1959,PRIVATE,59,5,83,62
2021,1967,PRIVATE,231,5,83,54
2021,1965,PRIVATE,149,5,78,56
2021,1967,PRIVATE,315,5,81,54
2021,1961,PRIVATE,36,5,77,60
2021,1932,PRIVATE,24,5,81,89
2021,1932,PRIVATE,24,5,81,89
2021,1943,PRIVATE,32,5,80,78
2021,1939,PRIVATE,34,5,68,82
2021,1965,PRIVATE,47,5,83,56
2021,1952,PRIVATE,41,5,80,69
2021,1970,PRIVATE,335,3,80,51
2021,2013,PRIVATE,62,5,77,8
2021,1958,PRIVATE,66,5,83,63
2021,1965,PRIVATE,89,5,89,56
2021,1959,PRIVATE,67,5,84,62
2021,1965,PRIVATE,133,5,65,56
2021,1963,PRIVATE,91,5,73,58
2021,1987,SOCIAL HOUSING,150,4,88,34
2021,1965,PRIVATE,263,5,85,56
2021,1958,PRIVATE,10,5,80,63
2021,1969,PRIVATE,330,5,74,52
2021,1967,PRIVATE,101,4,75,54
2021,1967,PRIVATE,230,5,77,54
2021,1967,PRIVATE,175,4,80,54
2021,1977,SOCIAL HOUSING,200,5,82,44
2021,1966,PRIVATE,52,5,92,55
2021,1954,PRIVATE,29,5,79,67
2021,1960,PRIVATE,12,5,77,61
2021,1970,PRIVATE,63,5,86,51
2021,1966,PRIVATE,96,5,76,55
2021,1957,PRIVATE,31,5,73,64
2021,1960,PRIVATE,47,5,73,61
2021,1960,PRIVATE,48,5,81,61
2021,1950,SOCIAL HOUSING,20,5,76,71
2021,1964,PRIVATE,287,5,76,57
2021,1967,PRIVATE,141,5,73,54
2021,1966,PRIVATE,40,4,67,55
2021,1965,PRIVATE,118,5,79,56
2021,1950,PRIVATE,38,5,78,71
2021,1968,PRIVATE,56,5,85,53
2021,1957,PRIVATE,57,5,70,64
2021,1965,PRIVATE,187,5,84,56
2021,1964,PRIVATE,117,5,83,57
2021,1984,SOCIAL HOUSING,160,5,80,37
2021,1920,PRIVATE,16,5,83,101
2021,1965,PRIVATE,216,5,76,56
2021,1950,PRIVATE,39,5,76,71
2021,1941,PRIVATE,52,5,76,80
2021,1951,PRIVATE,75,5,87,70
2021,1930,PRIVATE,26,5,88,91
2021,1965,PRIVATE,18,5,92,56
2021,1920,PRIVATE,16,5,74,101
2021,1940,PRIVATE,38,5,78,81
2021,1954,PRIVATE,51,5,80,67
2021,1955,PRIVATE,25,5,88,66
2021,1973,PRIVATE,97,5,67,48
2021,1970,TCHC,128,4,80,51
2021,1967,PRIVATE,411,5,81,54
2021,1969,PRIVATE,110,5,83,52
2021,1971,TCHC,164,5,79,50
2021,1930,PRIVATE,25,5,76,91
2021,1910,PRIVATE,18,5,73,111
2021,1964,PRIVATE,305,5,90,57
2021,1950,PRIVATE,60,5,88,71
2021,1900,PRIVATE,17,5,64,121
2021,1958,PRIVATE,12,5,79,63
2021,1973,PRIVATE,156,5,92,48
2021,1954,PRIVATE,11,5,75,67
2021,1975,PRIVATE,291,5,65,46
2021,1963,PRIVATE,216,5,81,58
2021,1963,PRIVATE,108,5,81,58
2021,1965,PRIVATE,11,5,88,56
2021,1956,PRIVATE,56,5,85,65
2021,1958,PRIVATE,35,5,64,63
2021,1960,PRIVATE,154,5,91,61
2021,1928,PRIVATE,32,5,91,93
2021,1960,PRIVATE,18,5,79,61
2021,1950,PRIVATE,14,5,89,71
2021,1960,PRIVATE,133,5,82,61
2021,1960,PRIVATE,133,5,79,61
2021,1974,PRIVATE,38,5,85,47
2021,1973,PRIVATE,356,4,63,48
2021,1960,PRIVATE,34,5,92,61
2021,1962,PRIVATE,68,5,79,59
2021,1955,PRIVATE,32,5,80,66
2021,1974,PRIVATE,195,4,71,47
2021,1974,PRIVATE,152,5,78,47
2021,1960,PRIVATE,63,5,72,61
2021,1954,PRIVATE,26,5,85,67
2021,1954,PRIVATE,26,5,85,67
2021,1957,PRIVATE,68,5,84,64
2021,1965,PRIVATE,200,5,84,56
2021,1960,PRIVATE,71,5,77,61
2021,1964,PRIVATE,65,5,86,57
2021,1958,PRIVATE,26,5,88,63
2021,1977,PRIVATE,95,5,78,44
2021,1950,PRIVATE,10,5,83,71
2021,1965,PRIVATE,43,5,80,56
2021,1957,PRIVATE,11,5,75,64
2021,1983,SOCIAL HOUSING,141,5,77,38
2021,1987,SOCIAL HOUSING,123,5,76,34
2021,1963,PRIVATE,81,5,83,58
2021,1962,PRIVATE,60,5,84,59
2021,1992,SOCIAL HOUSING,10,5,71,29
2021,1963,PRIVATE,57,5,80,58
2021,1969,PRIVATE,383,3,84,52
2021,1971,PRIVATE,38,5,84,50
2021,1966,PRIVATE,24,5,73,55
2021,1970,PRIVATE,126,5,81,51
2021,1929,PRIVATE,46,5,87,92
2021,1929,PRIVATE,46,5,88,92
2021,1974,PRIVATE,169,5,65,47
2021,1954,PRIVATE,21,3,74,67
2021,1958,PRIVATE,22,5,69,63
2021,2013,PRIVATE,179,5,89,8
2021,1929,PRIVATE,64,5,91,92
2021,1971,PRIVATE,186,4,75,50
2021,1978,PRIVATE,227,5,68,43
2021,1976,PRIVATE,343,5,79,45
2021,1978,PRIVATE,325,5,73,43
2021,1959,PRIVATE,56,5,84,62
2021,1960,PRIVATE,61,5,79,61
2021,1963,PRIVATE,175,5,87,58
2021,1959,PRIVATE,36,5,94,62
2021,1970,PRIVATE,350,5,74,51
2021,1969,PRIVATE,24,5,75,52
2021,1989,PRIVATE,14,5,89,32
2021,1921,PRIVATE,16,5,89,100
2021,1966,PRIVATE,77,5,85,55
2021,1972,PRIVATE,122,5,85,49
2021,1992,TCHC,26,4,69,29
2021,1952,PRIVATE,30,5,79,69
2021,1954,PRIVATE,18,5,71,67
2021,1954,PRIVATE,44,5,81,67
2021,1938,PRIVATE,22,5,84,83
2021,1937,PRIVATE,18,5,76,84
2021,1965,PRIVATE,57,5,71,56
2021,1965,PRIVATE,76,4,70,56
2021,1971,PRIVATE,142,5,78,50
2021,1975,SOCIAL HOUSING,77,5,73,46
2021,1982,PRIVATE,256,5,78,39
2021,1965,PRIVATE,186,5,82,56
2021,1970,PRIVATE,525,4,73,51
2021,1969,PRIVATE,93,5,78,52
2021,1957,PRIVATE,25,5,83,64
2021,1957,PRIVATE,26,5,85,64
2021,1970,PRIVATE,55,5,77,51
2021,1964,PRIVATE,44,4,67,57
2021,1964,PRIVATE,38,4,67,57
2021,1958,PRIVATE,17,5,80,63
2021,1957,PRIVATE,12,5,76,64
2021,1955,PRIVATE,46,5,81,66
2021,1982,TCHC,125,5,87,39
2021,1963,PRIVATE,57,5,82,58
2021,1931,PRIVATE,31,5,75,90
2021,1950,PRIVATE,75,5,78,71
2021,1958,PRIVATE,115,5,85,63
2021,1950,PRIVATE,31,5,78,71
2021,1956,PRIVATE,117,5,74,65
2021,1970,PRIVATE,118,5,82,51
2021,1947,PRIVATE,12,3,68,74
2021,1959,PRIVATE,74,5,91,62
2021,1962,PRIVATE,43,5,88,59
2021,1962,PRIVATE,42,5,79,59
2021,1956,PRIVATE,29,5,78,65
2021,1967,PRIVATE,46,5,61,54
2021,1968,PRIVATE,304,4,78,53
2021,1962,PRIVATE,114,5,81,59
2021,2017,PRIVATE,188,5,92,4
2021,1941,PRIVATE,41,5,87,80
2021,1941,PRIVATE,37,5,89,80
2021,1941,PRIVATE,28,5,88,80
2021,1967,PRIVATE,216,5,81,54
2021,1970,PRIVATE,139,5,83,51
2021,1971,PRIVATE,35,5,78,50
2021,1930,PRIVATE,15,5,73,91
2021,1965,PRIVATE,86,5,62,56
2021,1960,PRIVATE,60,4,78,61
2021,1961,PRIVATE,33,5,89,60
